iter	Passed	Remaining
0	46	46498
1	46	23414
2	48	16066
3	49	12393
4	51	10195
5	52	8705
6	53	7651
7	55	6860
8	56	6247
9	57	5735
10	59	5313
11	60	4960
12	62	4725
13	63	4479
14	64	4255
15	65	4057
16	66	3872
17	67	3678
18	67	3497
19	68	3375
20	69	3261
21	70	3151
22	71	3056
23	72	2963
24	73	2879
25	74	2800
26	75	2723
27	76	2654
28	77	2584
29	77	2517
30	78	2456
31	79	2402
32	80	2353
33	81	2310
34	82	2261
35	82	2219
36	83	2174
37	84	2129
38	84	2087
39	85	2048
40	86	2012
41	86	1976
42	87	1942
43	87	1908
44	88	1875
45	88	1842
46	89	1812
47	89	1782
48	90	1753
49	90	1724
50	91	1697
51	91	1670
52	92	1644
53	92	1620
54	92	1595
55	93	1572
56	93	1549
57	94	1528
58	94	1507
59	94	1486
60	95	1466
61	95	1446
62	95	1427
63	96	1408
64	96	1391
65	97	1373
66	97	1356
67	97	1337
68	97	1320
69	98	1304
70	98	1289
71	98	1274
72	99	1259
73	99	1244
74	99	1230
75	100	1216
76	100	1202
77	100	1189
78	100	1176
79	101	1163
80	101	1151
81	101	1139
82	102	1127
83	102	1115
84	102	1103
85	102	1092
86	102	1080
87	103	1069
88	103	1058
89	103	1048
90	103	1038
91	104	1028
92	104	1018
93	104	1009
94	104	999
95	105	990
96	105	981
97	105	972
98	105	964
99	106	955
100	106	947
101	106	937
102	106	929
103	106	921
104	107	913
105	107	905
106	107	897
107	107	890
108	108	883
109	108	875
110	108	868
111	108	861
112	108	854
113	109	848
114	109	841
115	109	834
116	109	827
117	109	821
118	110	814
119	110	808
120	110	802
121	110	797
122	110	790
123	111	784
124	111	779
125	111	773
126	111	768
127	111	762
128	112	757
129	112	751
130	112	746
131	112	741
132	113	736
133	113	731
134	113	726
135	113	721
136	113	717
137	114	712
138	114	707
139	114	702
140	114	698
141	114	694
142	115	689
143	115	685
144	115	681
145	115	676
146	115	672
147	116	668
148	116	664
149	116	660
150	116	656
151	116	652
152	117	648
153	117	645
154	117	641
155	118	639
156	118	635
157	118	632
158	118	628
159	119	625
160	119	621
161	119	617
162	119	614
163	119	611
164	120	607
165	120	604
166	120	601
167	120	597
168	120	594
169	121	592
170	121	588
171	121	585
172	121	582
173	122	579
174	122	576
175	122	574
176	122	571
177	123	569
178	123	566
179	123	563
180	123	560
181	124	557
182	124	555
183	124	552
184	124	550
185	125	547
186	125	545
187	125	542
188	125	540
189	126	537
190	126	535
191	126	533
192	127	531
193	127	528
194	127	526
195	127	524
196	128	521
197	128	519
198	128	517
199	128	515
200	129	513
201	129	510
202	129	508
203	129	506
204	130	504
205	130	502
206	130	500
207	130	498
208	131	496
209	131	494
210	131	492
211	132	491
212	132	489
213	132	487
214	132	485
215	133	483
216	133	481
217	133	480
218	134	478
219	134	476
220	134	474
221	134	472
222	135	471
223	135	469
224	135	467
225	136	466
226	136	464
227	136	463
228	137	461
229	137	460
230	137	458
231	138	457
232	138	455
233	138	454
234	139	453
235	139	451
236	139	450
237	140	449
238	140	447
239	140	446
240	141	444
241	141	443
242	141	441
243	142	440
244	142	439
245	142	437
246	143	436
247	143	435
248	143	433
249	144	432
250	144	431
251	144	429
252	145	428
253	145	426
254	145	425
255	146	424
256	146	423
257	146	422
258	147	420
259	147	419
260	147	418
261	148	417
262	148	415
263	148	414
264	149	413
265	149	412
266	149	411
267	150	410
268	150	408
269	150	407
270	151	406
271	151	405
272	151	404
273	152	403
274	152	401
275	152	400
276	153	399
277	153	398
278	153	397
279	154	396
280	154	395
281	154	394
282	155	393
283	155	392
284	155	390
285	156	389
286	156	388
287	156	387
288	157	386
289	157	385
290	157	384
291	158	383
292	158	382
293	158	381
294	159	380
295	159	379
296	160	378
297	160	377
298	160	376
299	161	375
300	161	374
301	161	373
302	162	372
303	162	372
304	162	371
305	163	370
306	163	369
307	164	368
308	164	367
309	164	367
310	165	366
311	165	365
312	166	364
313	166	363
314	166	362
315	167	362
316	167	361
317	168	360
318	168	359
319	168	358
320	169	358
321	169	357
322	170	356
323	170	355
324	170	355
325	171	354
326	171	353
327	172	352
328	172	352
329	173	351
330	173	350
331	173	349
332	174	348
333	174	348
334	175	347
335	175	346
336	175	346
337	176	345
338	177	345
339	177	344
340	177	343
341	178	343
342	179	342
343	179	342
344	179	341
345	180	340
346	180	339
347	181	339
348	181	339
349	182	338
350	183	338
351	183	338
352	184	337
353	184	336
354	185	336
355	185	335
356	185	334
357	188	337
358	188	336
359	188	335
360	189	335
361	189	334
362	190	334
363	190	333
364	191	332
365	191	331
366	191	331
367	192	330
368	192	329
369	193	329
370	193	328
371	194	328
372	194	327
373	195	326
374	195	326
375	196	325
376	196	324
377	197	324
378	197	323
379	198	324
380	199	323
381	199	322
382	199	322
383	200	321
384	200	320
385	201	320
386	201	319
387	202	318
388	202	318
389	202	317
390	203	316
391	203	316
392	204	315
393	204	314
394	205	314
395	205	313
396	205	312
397	206	311
398	206	311
399	206	310
400	207	309
401	207	309
402	208	308
403	208	307
404	208	307
405	209	306
406	209	305
407	210	304
408	210	304
409	210	303
410	211	302
411	211	302
412	211	301
413	212	300
414	212	299
415	213	299
416	213	298
417	213	297
418	214	297
419	214	296
420	215	295
421	215	295
422	215	294
423	216	293
424	216	292
425	216	292
426	217	291
427	217	290
428	218	290
429	218	289
430	218	288
431	219	288
432	219	287
433	219	286
434	220	286
435	220	285
436	221	284
437	221	284
438	221	283
439	222	282
440	222	282
441	223	281
442	223	281
443	224	280
444	224	279
445	224	279
446	225	278
447	225	277
448	225	277
449	226	276
450	226	275
451	227	275
452	227	274
453	227	274
454	228	273
455	228	272
456	228	272
457	229	271
458	229	270
459	230	270
460	230	269
461	230	268
462	231	268
463	231	267
464	232	266
465	232	266
466	232	265
467	233	265
468	233	264
469	233	263
470	234	263
471	234	262
472	235	261
473	235	261
474	235	260
475	236	260
476	236	259
477	236	258
478	237	258
479	237	257
480	238	256
481	238	256
482	238	255
483	239	255
484	239	254
485	240	253
486	240	253
487	240	252
488	241	252
489	241	251
490	242	250
491	242	250
492	242	249
493	243	249
494	243	248
495	244	247
496	244	247
497	244	246
498	245	246
499	245	245
500	245	244
501	246	244
502	246	243
503	247	243
504	247	242
505	247	241
506	248	241
507	248	240
508	248	240
509	249	239
510	249	238
511	250	238
512	250	237
513	250	237
514	251	236
515	251	235
516	251	235
517	252	234
518	252	234
519	252	233
520	253	232
521	253	232
522	254	231
523	254	231
524	254	230
525	255	229
526	255	229
527	255	228
528	256	228
529	256	227
530	257	227
531	257	226
532	257	225
533	258	225
534	258	224
535	259	224
536	259	223
537	260	223
538	260	222
539	260	222
540	261	221
541	261	221
542	262	220
543	262	220
544	263	219
545	263	219
546	263	218
547	264	217
548	264	217
549	264	216
550	265	216
551	265	215
552	266	215
553	266	214
554	266	213
555	267	213
556	267	212
557	268	212
558	268	211
559	268	211
560	269	210
561	269	210
562	269	209
563	270	208
564	270	208
565	270	207
566	271	207
567	271	206
568	272	206
569	272	205
570	272	204
571	273	204
572	273	203
573	273	203
574	274	202
575	274	202
576	275	201
577	275	201
578	275	200
579	276	200
580	276	199
581	277	198
582	277	198
583	277	198
584	278	197
585	278	196
586	279	196
587	279	195
588	279	195
589	280	194
590	280	194
591	281	193
592	281	193
593	281	192
594	282	192
595	282	191
596	282	191
597	283	190
598	283	189
599	284	189
600	284	188
601	284	188
602	285	187
603	285	187
604	286	186
605	286	186
606	286	185
607	287	185
608	287	184
609	287	184
